company,symbol,weight,price,%_change
Western Union Company,WU,0.038991,23.05,-2.72%
Avery Dennison Corporation,AVY,0.038832,112.82,-0.23%
Allegion PLC,ALLE,0.038817,102.5,(-0.16%)
Federal Realty Investment Trust,FRT,0.038408,136.56,-0.32%
Apache Corporation,APA,0.038233,25.7,-1.70%
PerkinElmer Inc.,PKI,0.0381,85.16,(-0.16%)
WestRock Company,WRK,0.037656,36.48,-0.41%
PulteGroup Inc.,PHM,0.0376,35.92,(-0.72%)
Henry Schein Inc.,HSIC,0.037413,62.58,-1.56%
Iron Mountain Inc.,IRM,0.036909,32.18,-0.85%
Qorvo Inc.,QRVO,0.036184,73,(-2.80%)
Huntington Ingalls Industries Inc.,HII,0.035922,213.39,(-0.41%)
Discovery Inc. Class C,DISCK,0.035513,24.71,-1.06%
Kimco Realty Corporation,KIM,0.03495,20.85,-0.34%
Snap-on Incorporated,SNA,0.034811,155.34,-0.27%
